# 第 9 课 · 第二节 · 检索变体表   (本次由 AI 代跑,故 AI 代填;判断部分仍留给张君杰)
#
# ═══ 为什么要有它 ═══
# 有人问过:"怎么合是不是要通过实验验证?那仅仅是针对这个评估集吧?"
#   —— 对。同一批题【既用来选、又用来判】,那个分数就不作数了。
#   —— 而且那 60 道已经全看过了,"留出法"用不了了。
#   → 只能造【新的】东西。不是新题,是【同一道题的新问法】:答案不变,只有问法变。
#
# ═══ ★★ 设计成【统一结构】,这是故意的 ═══
#   4 道题 × 4 个变体,每题都是同一套:
#       基准        —— 系统实际用的那组词
#       去期次      —— 破坏"期次过滤"   ★ 四道题都有,才能横向比、才能复现题 52 的反常
#       换说法      —— 破坏该题最脆的那一点
#       去掉一个词  —— 破坏"这个词是必需的"
#   ★ 结构不统一就没法横向比 —— 那样只能得到 4 个孤立的数。
#
# ═══ ⚠⚠ 那条坑:为什么有「问法」和「检索词」两列 ═══
#   AI 第一版把【整句问句】喂给关键词检索 → 0 条命中。
#   原因:search_multi 按空格拆词,整句中文没空格 → 被当成一个超长词 →
#        trigram 要求这整串字挨着出现 → 0。
#   ★ 真系统不这么干:大模型先把问句改写成【空格分开的检索词】再进检索。
#   ★★ 所以「检索词」列才是实际生效的输入;「问法」列只负责抽期次。
#
# ═══ 判据 ═══
#   答案键那一页出现在【该方式实际给出去的条里】→ 算命中。
#   ★ 不按前 K 判:并集取前k 按定义不受 k 约束,用 k 去量它不公平(会要求它把多给的扔掉)。
#
# ═══ ★★★ 看汇总时 ═══
#   不看平均分,看【最差的那一格】。脆的东西平时不响。
#
题号	变体名	破坏什么	问法	检索词	期望
48	基准	(基准,不改)	2025Q4分吞吐量级服务测评里，1000万-1500万级机场综合得分第一是谁	2025Q4 吞吐量 服务测评 1000万-1500万 机场 综合得分	2025Q4-P21
48	去期次	破坏"期次过滤"	分吞吐量级服务测评里，1000万-1500万级机场综合得分第一是谁	吞吐量 服务测评 1000万-1500万 机场 综合得分	2025Q4-P21
48	换数字写法	破坏"数字必须逐字命中"	2025Q4分吞吐量级服务测评里，1000万~1500万级机场综合得分第一是谁	2025Q4 吞吐量 服务测评 1000万~1500万 机场 综合得分	2025Q4-P21
48	去掉档位词	破坏"档位词是必需的"	2025Q4分吞吐量级服务测评里，综合得分第一是谁	2025Q4 吞吐量 服务测评 综合得分	2025Q4-P21
51	基准	(基准,不改)	2024Q2的著作权声明说了什么	2024Q2 著作权声明 版权声明	2024Q2-P14
51	去期次	破坏"期次过滤"	著作权声明说了什么	著作权声明 版权声明	2024Q2-P14
51	拆词	破坏"字必须挨着"	2024Q2的著作权声明说了什么	2024Q2 著作权 声明	2024Q2-P14
51	用原文的说法	破坏"检索词必须命中原文用词"	2024Q2的法律声明说了什么	2024Q2 法律声明	2024Q2-P14
52	基准	(基准,不改)	2025Q4的测评简介里，CAPSE是哪一年成立的	2025Q4 测评简介 CAPSE 成立 年份	2025Q4-P23
52	去期次	破坏"期次过滤"	测评简介里，CAPSE是哪一年成立的	测评简介 CAPSE 成立 年份	2025Q4-P23
52	用原文的说法	破坏"检索词必须命中原文用词"	2025Q4的CAPSE简介里，CAPSE是哪一年成立的	2025Q4 CAPSE简介 CAPSE 成立	2025Q4-P23
52	去掉推测词	破坏"大模型自己推测的词有用"	2025Q4里，CAPSE是哪一年成立的	2025Q4 CAPSE 成立 年份	2025Q4-P23
45	基准	(基准,不改)	2025Q3的CAPSE简介里，CAPSE创立了哪些指标或系统	CAPSE 2025Q3 创立 指标 系统	2025Q3-P11
45	去期次	破坏"期次过滤"	CAPSE简介里，CAPSE创立了哪些指标或系统	CAPSE 创立 指标 系统	2025Q3-P11
45	换同义词	破坏"关键词认字面不认意思"	2025Q3的CAPSE简介里，CAPSE建立了哪些指标或系统	CAPSE 2025Q3 建立 指标 系统	2025Q3-P11
45	去掉CAPSE	破坏"最独特的词可以不要"	2025Q3的简介里，创立了哪些指标或系统	2025Q3 创立 指标 系统	2025Q3-P11
# ── 以下是 variant_expand.py 机械生成的行(去期次)──
38	机械·去期次	破坏期次过滤(机械生成,无判断)	给我说说时期的测评指标变更说明	测评指标 变更说明 调整说明	2024Q2-P05
38	机械·只留库里没有的词	破坏'多个词一起用'(取出现 0 次的词)	给我说说2024Q2时期的测评指标变更说明	调整说明	2024Q2-P05
38	机械·只留最普通的词	破坏'多个词一起用'(取出现 5 次的词)	给我说说2024Q2时期的测评指标变更说明	变更说明	2024Q2-P05
40	机械·去期次	破坏期次过滤(机械生成,无判断)	的指标变更说明里删除和合并了哪些指标	指标变更 删除 合并	2023Q3-P05
